metric,lang_type,value,split,dataset,name,i
acc,any_concept_<s> not white and ellipse </s>,0.49214286633900234,train,cub,setref,0
loss,closest_concept,2.817213296890259,train,cub,setref,0
acc,closest_concept,0.4753323658880459,train,cub,setref,0
bleu,closest_concept,0.7905963884821865,train,cub,setref,0
acc,closest_concept_<s> not white or not rectangle </s>,0.5130434877198675,train,cub,setref,0
acc,closest_concept_<s> gray </s>,0.010926641178637397,train,cub,setref,0
acc,closest_concept_<s> green or square </s>,0.46480000877380373,train,cub,setref,0
acc,closest_concept_<s> not blue and not circle </s>,0.6250000110930867,train,cub,setref,0
acc,closest_concept_<s> ellipse </s>,0.08869903088701003,train,cub,setref,0
acc,closest_concept_<s> not square and not rectangle </s>,0.6298181936641534,train,cub,setref,0
acc,closest_concept_<s> not square and not ellipse </s>,0.6173559441051241,train,cub,setref,0
acc,closest_concept_<s> square </s>,0.1780397053447462,train,cub,setref,0
acc,closest_concept_<s> red or gray </s>,0.6204245412124778,train,cub,setref,0
acc,closest_concept_<s> not blue or not square </s>,0.5067742017969008,train,cub,setref,0
acc,closest_concept_<s> not circle and not triangle </s>,0.5924000112215678,train,cub,setref,0
acc,closest_concept_<s> not yellow and not gray </s>,0.6349473823057977,train,cub,setref,0
acc,closest_concept_<s> not blue and not white </s>,0.6291919305544309,train,cub,setref,0
acc,closest_concept_<s> blue or white </s>,0.6162559348118813,train,cub,setref,0
acc,closest_concept_<s> circle or triangle </s>,0.5822992814337685,train,cub,setref,0
acc,closest_concept_<s> not rectangle </s>,0.5104177642195405,train,cub,setref,0
acc,closest_concept_<s> not yellow or not rectangle </s>,0.5276470673434874,train,cub,setref,0
acc,closest_concept_<s> not green and not white </s>,0.6241035972131913,train,cub,setref,0
acc,closest_concept_<s> triangle </s>,0.1127230070592582,train,cub,setref,0
acc,closest_concept_<s> not red and not white </s>,0.6404945169995119,train,cub,setref,0
acc,closest_concept_<s> not yellow </s>,0.4706774288103465,train,cub,setref,0
acc,closest_concept_<s> circle </s>,0.014449878053370781,train,cub,setref,0
acc,closest_concept_<s> not circle and not rectangle </s>,0.5603804460159786,train,cub,setref,0
acc,closest_concept_<s> red or green </s>,0.6277981767413813,train,cub,setref,0
acc,closest_concept_<s> not blue and not green </s>,0.6252879687316755,train,cub,setref,0
acc,closest_concept_<s> not white and ellipse </s>,0.3771428646785872,train,cub,setref,0
loss,ground_truth_2,0.13704751431941986,train,cub,setref,0
acc,ground_truth_2,0.9433597003878356,train,cub,setref,0
bleu,ground_truth_2,0.998967301122507,train,cub,setref,0
acc,ground_truth_2_<s> not white or not rectangle </s>,0.8339130580425262,train,cub,setref,0
acc,ground_truth_2_<s> gray </s>,0.9995752895200575,train,cub,setref,0
acc,ground_truth_2_<s> green or square </s>,0.8188000140190125,train,cub,setref,0
acc,ground_truth_2_<s> not blue and not circle </s>,0.8972222334808774,train,cub,setref,0
acc,ground_truth_2_<s> ellipse </s>,0.9994757283081128,train,cub,setref,0
acc,ground_truth_2_<s> not square and not rectangle </s>,0.9931818199518955,train,cub,setref,0
acc,ground_truth_2_<s> not square and not ellipse </s>,0.8798305216078031,train,cub,setref,0
acc,ground_truth_2_<s> square </s>,0.8849131661076699,train,cub,setref,0
acc,ground_truth_2_<s> red or gray </s>,0.9996698113544932,train,cub,setref,0
acc,ground_truth_2_<s> not blue or not square </s>,0.8522580790904261,train,cub,setref,0
acc,ground_truth_2_<s> not circle and not triangle </s>,0.9930333347717921,train,cub,setref,0
acc,ground_truth_2_<s> not yellow and not gray </s>,0.9964736842481714,train,cub,setref,0
acc,ground_truth_2_<s> not blue and not white </s>,0.9971212128798167,train,cub,setref,0
acc,ground_truth_2_<s> blue or white </s>,0.9920853092772136,train,cub,setref,0
acc,ground_truth_2_<s> circle or triangle </s>,0.984708032729852,train,cub,setref,0
acc,ground_truth_2_<s> not rectangle </s>,0.8775195972103985,train,cub,setref,0
acc,ground_truth_2_<s> not yellow or not rectangle </s>,0.8858823664048139,train,cub,setref,0
acc,ground_truth_2_<s> not green and not white </s>,0.9997609562607875,train,cub,setref,0
acc,ground_truth_2_<s> triangle </s>,0.9928638516457428,train,cub,setref,0
acc,ground_truth_2_<s> not red and not white </s>,0.9992307693093687,train,cub,setref,0
acc,ground_truth_2_<s> not yellow </s>,0.9999677419277929,train,cub,setref,0
acc,ground_truth_2_<s> circle </s>,0.9978239617312742,train,cub,setref,0
acc,ground_truth_2_<s> not circle and not rectangle </s>,0.8365489266812801,train,cub,setref,0
acc,ground_truth_2_<s> red or green </s>,0.9998165137724045,train,cub,setref,0
acc,ground_truth_2_<s> not blue and not green </s>,0.999581151857426,train,cub,setref,0
acc,ground_truth_2_<s> not white and ellipse </s>,0.9214285790920258,train,cub,setref,0
n,,29.738751814223512,train,cub,setref,0
acc,acre_<s> yellow or triangle </s>,0.6680000122388204,train,cub,setref,0
acc,acre_<s> not white and not ellipse </s>,0.7115384748348823,train,cub,setref,0
acc,acre_<s> not circle </s>,0.9812626305102098,train,cub,setref,0
acc,acre_<s> yellow or white </s>,0.937434786869132,train,cub,setref,0
acc,acre_<s> not green and not yellow </s>,0.9485377393944083,train,cub,setref,0
acc,acre_<s> blue and circle </s>,0.7113333455721538,train,cub,setref,0
